Receipt ID,Item,Quantity,Price,Item Total
71,Minyak Kayu Putih,4,15000,60000
71,Sapu,6,30000,180000
71,Taro,7,15000,105000
71,Kit Kat,4,5000,20000
71,Vitamin C,5,50000,250000
71,Rokok,1,20000,20000
71,Voucher Steam,1,10000,10000
71,Paracetamol,7,30000,210000
71,TOTAL,,,855000
,,,,
72,Sapu,6,30000,180000
72,Penghapus,5,5000,25000
72,Telur,3,20000,60000
72,Gayung,7,20000,140000
72,Promag,3,10000,30000
72,Pensil,8,3000,24000
72,Yogurt,2,10000,20000
72,Tomat,6,25000,150000
72,TOTAL,,,629000
,,,,
73,Sikat Gigi,9,20000,180000
73,Yogurt,6,10000,60000
73,Pensil,7,3000,21000
73,Chitos,6,12000,72000
73,Kit Kat,5,5000,25000
73,Silver Queen,2,10000,20000
73,Taro,7,15000,105000
73,Voucher Garena,6,100000,600000
73,TOTAL,,,1083000
,,,,
74,Penghapus,10,5000,50000
74,Pensil,10,3000,30000
74,Gunting,4,30000,120000
74,Popok Bayi Sekali Pakai,5,50000,250000
74,Promag,10,10000,100000
74,prochiz,7,25000,175000
74,Oatmeal Instan,8,30000,240000
74,Voucher Steam,5,10000,50000
74,TOTAL,,,1015000
,,,,
75,Baju Anak,7,50000,350000
75,Panadol,7,5000,35000
75,Muffin,1,25000,25000
75,Vitamin D,6,20000,120000
75,Chitos,5,12000,60000
75,Vitamin C,7,50000,350000
75,Jus Buah,8,15000,120000
75,Lifebuoy Body Wash,10,30000,300000
75,TOTAL,,,1360000
,,,,
76,Kit Kat,5,5000,25000
76,Head & Shoulders,10,60000,600000
76,Telur,2,20000,40000
76,Seafood Beku,10,75000,750000
76,Tomat,10,25000,250000
76,Muffin,8,25000,200000
76,Earphone,2,50000,100000
76,Sepatu,8,150000,1200000
76,TOTAL,,,3165000
,,,,
77,Tomat,1,25000,25000
77,Voucher Garena,1,100000,100000
77,Ayam Goreng,6,50000,300000
77,Kipas Angin,9,100000,900000
77,Voucher Steam,8,10000,80000
77,Lifebuoy Body Wash,3,30000,90000
77,Telur,9,20000,180000
77,Teh,8,10000,80000
77,TOTAL,,,1755000
,,,,
78,Susu,1,15000,15000
78,Minyak Kayu Putih,2,15000,30000
78,Teh,2,10000,20000
78,Rokok,8,20000,160000
78,Voucher Garena,9,100000,900000
78,Panadol,2,5000,10000
78,Gayung,1,20000,20000
78,Pasta Gigi,4,15000,60000
78,TOTAL,,,1215000
,,,,
79,Telur,4,20000,80000
79,Sapu,7,30000,210000
79,Silver Queen,10,10000,100000
79,Head & Shoulders,7,60000,420000
79,Lemon,6,30000,180000
79,Sprite,7,10000,70000
79,Sabun Cuci Muka,1,25000,25000
79,Teh,1,10000,10000
79,TOTAL,,,1095000
,,,,
80,Head & Shoulders,5,60000,300000
80,Sabun Cuci Muka,1,25000,25000
80,Kopi,8,20000,160000
80,Spidol,3,10000,30000
80,Vitamin C,10,50000,500000
80,Tomat,10,25000,250000
80,Rokok,8,20000,160000
80,Daging Sapi Segar,8,75000,600000
80,TOTAL,,,2025000
,,,,
