nama,harga,kategori
Sprite,10000,Food
Susu,15000,Food
Chitos,12000,Food
Telur,20000,Food
Roti,25000,Food
Oatmeal Instan,30000,Food
Kit Kat,5000,Food
prochiz,25000,Food
Minyak Kayu Putih,15000,Medical and Health Care
Air Mineral,3000,Food
Rokok,20000,Others
Silver Queen,10000,Food
Taro,15000,Food
Ultra Milk,10000,Food
Pepperoni,25000,Food
Anggur,30000,Food
Cupcakes,5000,Food
Muffin,25000,Food
Lemon,30000,Food
Tomat,25000,Food
Yogurt,10000,Food
Ayam Goreng,50000,Food
Sepatu,150000,Clothing
Kopi,20000,Food
Baju Anak,50000,Clothing
Jus Buah,15000,Food
Daging Sapi Segar,75000,Food
Vitamin D,20000,Medical and Health Care
Paracetamol,30000,Medical and Health Care
Sapu,30000,Others
Popok Bayi Sekali Pakai,50000,Others
Mayonnaise,20000,Food
Celana Jeans,25000,Clothing
Pensil,3000,Stationery
Spidol,10000,Stationery
Penghapus,5000,Stationery
Bulpen,10000,Stationery
Lifebuoy Body Wash,30000,Toiletries
Sikat Gigi,20000,Toiletries
Pasta Gigi,15000,Toiletries
Vitamin C,50000,Medical and Health Care
Head & Shoulders,60000,Toiletries
Sabun Cuci Muka,25000,Toiletries
Gunting,30000,Stationery
Kipas Angin,100000,Others
Gayung,20000,Toiletries
Seafood Beku,75000,Food
Ember,30000,Toiletries
Decolgen,30000,Medical and Health Care
Earphone,50000,Others
Penggaris,15000,Stationery
Teh,10000,Food
Voucher Goggle Play,50000,Entertainment
Voucher Garena,100000,Entertainment
Voucher Steam,10000,Entertainment
Promag,10000,Medical and Health Care
Panadol,5000,Medical and Health Care
