nama,harga,kategori
Biskuit Roma Kelapa,13200,Food
Twister Wafer Roll,8600,Food
Susu Vanilla,7800,Food
Susu Cokelat,7900,Food
Susu Strawberry,7900,Food
Yoghurt Anggur,10200,Food
Yoghurt Blackcurrant,10200,Food
Cimory Yogurt Drink Mangga,12000,Food
Cimory Yogurt Squeeze Taro,12000,Food
Biskuat Biscuit Extra Coklat,7200,Food
Monde Butter Cookies,56000,Food
Oishi Sponge Crunch Chocolate,15000,Food
Oishi Sponge Crunch Strawberry,14500,Food
Pop Mie Kari Ayam,5900,Food
Pop Mie Bakso,5900,Food
Spaghetti Bolognaise,5900,Food
Indomie Goreng Rendang,3000,Food
Indomie Rebus Soto,2800,Food
Gekikara Ramen ,6500,Food
Nongshim Udon,14500,Food
Indomie Goreng Ayam Geprek,3200,Food
Indomie Rebus Seblak,3300,Food
Mie Goreng Sambal Rica-Rica,3200,Food
Mie Goreng Aceh,3200,Food
Mie Goreng Cabe Ijo,3200,Food
Mie Goreng Iga Penyet,3300,Food
Jelly Drink,12000,Food
Soda Kue,16000,Food
Roti Blueberry,8900,Food
Selai Kacang,28700,Food
Keju,13500,Food
Meses Ceres,12400,Food
SilverQueen Chunky Cashews Chocolate,18000,Food
SilverQueen Chunky Almond Chocolate,19000,Food
Cokelat bubuk,22000,Food
Croissant,12000,Food
Milo bubuk,6700,Food
Beng-beng chocolate,3000,Food
Ovomaltine crunchy cream,34000,Food
Susu Dancow bubuk vanilla,38000,Food
Ice cream rainbow,3500,Food
Coca-cola soft drink zero sugar,9000,Food
Fanta soft drink,7500,Food
Sprite soft drink,7500,Food
Pepsi blue soda,9000,Food
Kopi Kenangan,11200,Food
Air Mineral 600ml,3500,Food
Aqua 1500ml,3500,Food
Le Minerale galon,20000,Food
Lemonilo bayam,6700,Food
Permen karet babol,3500,Food
Permen mint chewy,9000,Food
Milkita milk candy,8900,Food
Telur 1kg,32000,Food
Apel,35000,Food
Pear,36000,Food
Melon madu,42000,Food
Semangka,40000,Food
Pisang sunpride,15000,Food
Ice cream magnum gold,22000,Food
Ice cream walls cup vanilla,6500,Food
Oatside coffe,13000,Food
Lasegar kaleng,7200,Food
Larutan Penyegar cap badak,7800,Food
Nescafe ice black,9600,Food
Starbucks double shot americano,14500,Food
Good day latte,7500,Food
Kopi kapal api,3400,Food
Kopi luwak,3500,Food
Luwak white coffe,3600,Food
Caramel macchiato,11200,Food
Snacks Cheetos,8500,Food
Chiki balls,6500,Food
Chiki puff,6700,Food
