Receipt ID,Item,Quantity,Price,Item Total
41,Gunting,10,30000,300000
41,Promag,5,10000,50000
41,prochiz,2,25000,50000
41,Sabun Cuci Muka,10,25000,250000
41,Penghapus,10,5000,50000
41,TOTAL,,,700000
,,,,
42,Sprite,5,10000,50000
42,Susu,2,15000,30000
42,Decolgen,4,30000,120000
42,Air Mineral,2,3000,6000
42,Teh,2,10000,20000
42,TOTAL,,,226000
,,,,
43,Oatmeal Instan,3,30000,90000
43,Muffin,4,25000,100000
43,Rokok,4,20000,80000
43,Sabun Cuci Muka,1,25000,25000
43,Ultra Milk,4,10000,40000
43,TOTAL,,,335000
,,,,
44,Ember,9,30000,270000
44,Rokok,3,20000,60000
44,Yogurt,5,10000,50000
44,Tomat,5,25000,125000
44,Chitos,8,12000,96000
44,TOTAL,,,601000
,,,,
45,Mayonnaise,4,20000,80000
45,Celana Jeans,1,25000,25000
45,Spidol,9,10000,90000
45,Susu,7,15000,105000
45,Lemon,8,30000,240000
45,TOTAL,,,540000
,,,,
46,Panadol,5,5000,25000
46,Pepperoni,10,25000,250000
46,Head & Shoulders,3,60000,180000
46,Baju Anak,10,50000,500000
46,Promag,3,10000,30000
46,TOTAL,,,985000
,,,,
47,Pensil,7,3000,21000
47,Muffin,6,25000,150000
47,Kipas Angin,10,100000,1000000
47,Susu,1,15000,15000
47,Chitos,3,12000,36000
47,TOTAL,,,1222000
,,,,
48,Panadol,1,5000,5000
48,Bulpen,5,10000,50000
48,Gunting,3,30000,90000
48,Voucher Garena,1,100000,100000
48,Celana Jeans,9,25000,225000
48,TOTAL,,,470000
,,,,
49,prochiz,3,25000,75000
49,Spidol,2,10000,20000
49,Ultra Milk,2,10000,20000
49,Lemon,8,30000,240000
49,Sprite,10,10000,100000
49,TOTAL,,,455000
,,,,
50,Baju Anak,2,50000,100000
50,Anggur,5,30000,150000
50,Taro,5,15000,75000
50,Pensil,8,3000,24000
50,Pasta Gigi,8,15000,120000
50,TOTAL,,,469000
,,,,
